iter	Passed	Remaining
0	0	84
1	1	80
2	2	74
3	2	69
4	3	67
5	4	64
6	4	63
7	5	61
8	5	60
9	6	58
10	7	57
11	7	57
12	8	56
13	9	56
14	9	55
15	10	54
16	10	53
17	11	53
18	12	51
19	12	51
20	13	50
21	14	49
22	14	49
23	15	49
24	16	48
25	17	48
26	17	47
27	18	46
28	18	46
29	19	45
30	20	45
31	20	44
32	21	44
33	22	43
34	23	42
35	23	42
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	28	35
45	29	34
46	30	33
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
